date,open,high,low,close,volume,amount
2023-05-19,65.86,71.52,64.86,68.21,44507800.0,3006886057.0
2023-05-22,70.56,73.19,68.98,71.86,22599700.0,1607382909.0
2023-05-23,71.24,72.06,68.26,70.16,14873800.0,1048069559.0
2023-05-24,70.77,73.88,69.04,70.9,12381100.0,885810238.0
2023-05-25,70.16,71.56,66.66,68.83,12057900.0,832263424.0
2023-05-26,68.86,72.81,68.19,70.76,9772900.0,693061790.0
2023-05-29,70.47,73.63,68.92,72.74,9367100.0,672864769.0
2023-05-30,72.07,73.52,71.0,73.28,6977000.0,505021807.0
2023-05-31,72.26,87.84,72.26,84.7,12007300.0,975571066.0
2023-06-01,83.74,86.75,80.55,81.97,10821600.0,893264532.0
2023-06-02,81.66,83.58,80.85,82.11,5704200.0,469559752.0
2023-06-05,84.22,87.53,79.49,79.94,8729900.0,725815874.0
2023-06-06,80.36,82.49,79.56,79.94,5962800.0,482577522.0
2023-06-07,80.15,82.64,79.16,80.43,5100300.0,412821269.0
2023-06-08,80.56,81.55,76.86,77.06,6278300.0,498857433.0
2023-06-09,77.14,82.52,77.14,81.92,6402600.0,514346801.0
2023-06-12,81.1,82.01,80.34,81.25,3102800.0,252012442.0
2023-06-13,80.94,82.45,78.05,82.25,4284900.0,345966998.0
2023-06-14,81.86,84.74,80.96,82.48,3235800.0,268120670.0
2023-06-15,81.96,84.49,79.66,80.68,3702400.0,302968046.0
2023-06-16,79.86,80.85,78.04,78.85,5185700.0,410620393.0
2023-06-19,79.38,81.31,78.37,79.86,4654900.0,372206883.0
2023-06-20,78.86,79.36,74.68,76.95,8100800.0,620106718.0
2023-06-21,75.98,76.26,72.87,73.6,3671600.0,275375412.0
2023-06-26,73.36,78.51,72.86,76.74,4196200.0,321382284.0
2023-06-27,75.97,78.62,75.86,77.61,2812300.0,218276854.0
2023-06-28,77.36,82.85,77.32,80.46,4401100.0,353664279.0
2023-06-29,80.03,81.46,79.22,80.86,2306300.0,185681432.0
2023-06-30,79.97,84.66,79.66,82.87,2736700.0,225884818.0
2023-07-03,83.64,84.54,79.52,79.74,2829700.0,230831207.0
