date,open,high,low,close,volume,amount
2018-10-22,0.168,0.575,0.148,0.509,3532100.0,
2018-10-23,0.509,0.595,0.262,0.382,2305000.0,
2018-10-24,0.289,0.602,0.242,0.535,2595500.0,
2018-10-25,0.275,0.449,0.155,0.402,1949800.0,
2018-10-26,0.469,0.522,0.329,0.382,1397500.0,
2018-10-29,0.395,0.542,0.289,0.369,1342100.0,
2018-10-30,0.395,0.442,0.148,0.362,1901000.0,
2018-10-31,0.375,0.629,0.369,0.542,3429200.0,
2018-11-01,0.535,0.822,0.489,0.735,4133900.0,
2018-11-02,0.909,1.122,0.889,1.009,4103800.0,
2018-11-05,0.996,1.089,0.822,1.062,2639000.0,
2018-11-06,1.069,1.082,0.829,0.969,1692900.0,
2018-11-07,1.002,1.122,0.955,1.009,2241000.0,
2018-11-08,1.029,1.189,0.996,1.022,2394200.0,
2018-11-09,0.955,1.162,0.855,1.116,1884400.0,
2018-11-12,1.082,1.282,1.022,1.242,2559700.0,
2018-11-13,1.089,1.422,1.089,1.396,2785800.0,
2018-11-14,1.322,1.436,1.316,1.376,2286600.0,
2018-11-15,1.356,1.456,1.189,1.356,2477300.0,
2018-11-16,1.276,1.616,1.276,1.556,3458700.0,
2018-11-19,1.536,1.556,1.389,1.529,2110700.0,
2018-11-20,1.482,1.536,1.102,1.196,2580800.0,
2018-11-21,1.162,1.342,1.022,1.282,1926200.0,
2018-11-22,1.362,1.376,1.116,1.182,1851200.0,
2018-11-23,1.316,1.316,0.815,0.835,2981400.0,
2018-11-26,0.775,0.942,0.775,0.829,1388300.0,
2018-11-27,0.849,0.935,0.755,0.809,1901900.0,
2018-11-28,0.815,0.996,0.622,0.935,3118300.0,
2018-11-29,1.042,1.042,0.675,0.715,2620100.0,
2018-11-30,0.695,0.789,0.629,0.782,1419700.0,
2018-12-03,0.949,1.069,0.909,1.042,2720700.0,
2018-12-04,0.996,1.076,0.955,1.056,2049300.0,
2018-12-05,0.895,1.102,0.882,1.002,2493500.0,
2018-12-06,0.955,1.149,0.929,1.036,2793200.0,
2018-12-07,1.102,1.102,0.829,0.909,2609900.0,
2018-12-10,0.882,1.542,0.722,1.356,12851400.0,
2018-12-11,1.289,1.309,1.129,1.269,4814200.0,
2018-12-12,1.229,1.302,1.122,1.229,4050100.0,
2018-12-13,1.169,1.322,1.109,1.262,3525900.0,
2018-12-14,1.262,1.476,1.156,1.389,6694500.0,
2018-12-17,1.282,1.422,1.102,1.242,6083100.0,
2018-12-18,1.156,1.249,1.069,1.136,2486300.0,
2018-12-19,1.122,1.209,0.795,0.842,3108400.0,
2018-12-20,0.842,0.915,0.735,0.882,2441000.0,
2018-12-21,0.829,0.915,0.689,0.915,2280600.0,
2018-12-24,0.889,1.069,0.822,1.056,2080000.0,
2018-12-25,0.942,1.156,0.882,1.109,2960500.0,
2018-12-26,1.109,1.196,1.056,1.176,3028400.0,
2018-12-27,1.242,1.262,1.069,1.242,3251500.0,
2018-12-28,1.176,1.356,1.116,1.356,3084900.0,
2019-01-02,1.289,1.409,1.222,1.256,2593400.0,
2019-01-03,1.196,1.269,0.982,1.076,3117800.0,
2019-01-04,1.022,1.309,0.942,1.276,3590800.0,
2019-01-07,1.289,1.743,1.216,1.649,7880600.0,
2019-01-08,1.576,1.796,1.529,1.683,5331700.0,
2019-01-09,1.683,1.703,1.502,1.509,4029200.0,
2019-01-10,1.522,2.256,1.522,2.256,11122700.0,
2019-01-11,2.356,2.376,1.983,2.036,6916100.0,
2019-01-14,2.063,2.316,1.929,2.016,4975300.0,
2019-01-15,2.029,2.183,1.949,2.163,3962100.0,
2019-01-16,2.116,2.163,1.956,1.996,2527500.0,
2019-01-17,2.009,2.389,2.009,2.109,5123100.0,
2019-01-18,2.056,2.490,1.956,2.423,5662800.0,
