date,open,high,low,close,volume,amount
2022-04-20,42.46,47.0,39.3,41.22,20563300.0,1962506048.0
2022-04-21,42.45,49.76,41.85,45.46,12289600.0,1264254928.0
2022-04-22,46.11,47.48,43.08,43.89,6816900.0,691788832.0
2022-04-25,42.5,44.27,39.94,40.03,6279100.0,591506080.0
2022-04-26,40.39,43.15,40.39,41.15,4310800.0,404029904.0
2022-04-27,41.08,49.57,40.4,49.57,3984600.0,400717840.0
2022-04-28,49.99,53.1,47.04,51.82,4527800.0,503893616.0
2022-04-29,52.04,54.33,50.13,53.54,2750300.0,319478848.0
2022-05-05,52.73,52.73,48.15,49.69,4954100.0,555272224.0
2022-05-06,47.71,52.87,47.58,48.96,2674200.0,299259680.0
2022-05-09,48.46,50.93,47.72,49.35,2795200.0,307787328.0
2022-05-10,48.38,59.31,48.03,56.61,3864600.0,469350864.0
2022-05-11,56.92,58.84,54.56,57.53,3688500.0,467585008.0
2022-05-12,56.57,65.29,55.65,58.21,3934600.0,522658880.0
2022-05-13,59.69,61.96,57.87,59.17,2445400.0,323373520.0
2022-05-16,60.31,62.68,58.67,60.05,2616900.0,353597072.0
2022-05-17,60.4,63.47,60.27,62.17,2593500.0,358040384.0
2022-05-18,62.96,65.24,60.51,63.47,2269900.0,318918896.0
2022-05-19,62.11,64.97,61.23,62.55,2223900.0,310840928.0
2022-05-20,61.86,65.7,61.43,64.85,1698400.0,239059336.0
2022-05-23,64.9,69.86,64.87,67.2,1636500.0,244959890.0
2022-05-24,66.83,67.66,62.1,62.55,2162600.0,312313744.0
2022-05-25,63.01,65.16,61.98,63.01,1741800.0,245568702.0
2022-05-26,63.01,64.65,59.36,64.2,2233700.0,307963648.0
2022-05-27,64.38,65.51,62.1,63.83,1426600.0,201255232.0
2022-05-30,63.01,64.97,62.55,63.92,1080500.0,153044370.0
2022-05-31,63.8,66.61,63.47,66.02,1155100.0,167046370.0
2022-06-01,66.02,71.5,65.75,67.58,1549900.0,234925604.0
2022-06-02,67.67,73.66,65.81,73.02,2072800.0,323037472.0
2022-06-06,73.52,74.25,69.18,71.54,2242700.0,356034864.0
2022-06-07,70.79,73.09,69.32,72.61,1427000.0,225101994.0
2022-06-08,73.19,73.92,67.12,69.57,2189700.0,339951168.0
2022-06-09,69.54,69.87,65.65,66.61,1445800.0,215633065.0
2022-06-10,65.87,69.65,65.75,68.55,1266900.0,192588798.0
2022-06-13,67.58,68.29,64.01,67.17,2356900.0,346379136.0
2022-06-14,65.8,66.55,63.38,64.88,1986800.0,285240352.0
2022-06-15,65.16,70.23,64.83,68.28,1647000.0,248658829.0
2022-06-16,68.28,72.6,67.58,69.77,1275200.0,199663800.0
2022-06-17,68.49,71.24,68.03,69.38,1030000.0,158533729.0
2022-06-20,68.72,69.82,66.93,67.9,1215400.0,184597921.0
2022-06-21,68.03,71.5,66.89,69.41,1081200.0,165851408.0
2022-06-22,69.86,70.18,66.26,66.92,974300.0,146214531.0
2022-06-23,66.9,72.38,66.9,72.15,1295300.0,203291720.0
2022-06-24,71.17,72.87,69.26,69.54,1130900.0,176983406.0
2022-06-27,70.75,71.08,67.21,68.04,1513800.0,231225386.0
2022-06-28,68.35,70.69,67.12,69.91,1339100.0,203420899.0
2022-06-29,69.81,70.08,66.23,66.89,1220500.0,183867849.0
