date,open,high,low,close,volume,amount
2022-01-04,79.2,79.2,74.9,75.72,4283800.0,334549488.0
2022-01-05,75.72,76.4,73.72,74.1,4756700.0,364840032.0
2022-01-06,73.8,74.65,71.9,72.85,2918900.0,219061537.0
2022-01-07,72.83,74.56,72.1,72.81,3233500.0,243847114.0
2022-01-10,72.7,75.29,70.95,74.13,3715300.0,281862128.0
2022-01-11,73.9,75.3,70.3,71.93,4986400.0,367084608.0
2022-01-12,72.23,73.2,71.24,72.28,2162100.0,160214341.0
2022-01-13,72.52,72.52,70.53,70.77,2063500.0,150935769.0
2022-01-14,70.78,71.08,69.79,70.25,3897800.0,281597024.0
2022-01-17,70.18,73.5,69.7,72.2,4347000.0,322252560.0
2022-01-18,72.36,73.69,71.29,71.85,2360600.0,175292297.0
2022-01-19,71.39,72.18,69.51,70.18,2999400.0,217752406.0
2022-01-20,70.17,72.5,69.3,71.47,3341300.0,245763140.0
2022-01-21,71.68,72.11,69.09,69.99,5097200.0,366527344.0
2022-01-24,69.4,70.7,69.11,70.22,2129500.0,153363754.0
2022-01-25,70.48,71.2,68.3,68.95,2725000.0,196418891.0
2022-01-26,69.1,69.44,66.18,66.83,4737900.0,326846400.0
2022-01-27,67.3,67.3,64.9,65.12,3363700.0,228539931.0
2022-01-28,66.14,66.5,62.1,63.82,5134200.0,338352416.0
2022-02-07,64.4,66.19,62.96,63.66,3230800.0,213728926.0
2022-02-08,63.34,64.7,60.94,62.15,3805500.0,245596874.0
2022-02-09,61.4,62.38,55.73,56.29,14485200.0,868804144.0
2022-02-10,56.39,56.58,52.07,53.3,15354000.0,850181120.0
2022-02-11,53.16,53.7,52.21,52.5,13702200.0,753358160.0
2022-02-14,52.06,53.45,51.41,52.87,4765300.0,261675229.0
2022-02-15,52.42,57.9,52.31,57.29,11432100.0,661984224.0
2022-02-16,58.03,58.23,56.5,57.33,6257100.0,371795120.0
2022-02-17,57.4,60.56,56.92,59.89,6471400.0,397393056.0
2022-02-18,59.08,60.39,58.58,58.88,3894300.0,238298449.0
2022-02-21,59.28,59.51,57.43,57.94,5010700.0,302099248.0
2022-02-22,57.6,58.08,56.31,57.78,3391300.0,200957201.0
2022-02-23,57.91,62.1,57.4,61.59,8857500.0,558728640.0
2022-02-24,61.12,62.07,59.2,60.89,6240700.0,393742976.0
2022-02-25,62.29,63.1,60.7,61.37,3986100.0,253763754.0
2022-02-28,60.79,61.9,60.12,60.65,4226800.0,265554430.0
2022-03-01,61.89,61.89,59.9,60.9,3380000.0,212415272.0
2022-03-02,60.4,60.47,58.7,59.73,2765100.0,169958048.0
2022-03-03,60.1,60.26,57.25,57.44,4167000.0,250501704.0
2022-03-04,56.78,59.29,56.41,57.33,2881800.0,172600898.0
2022-03-07,56.62,57.63,53.46,53.78,7520900.0,425913488.0
2022-03-08,54.5,56.28,52.33,54.32,6930000.0,391673552.0
2022-03-09,54.27,56.3,52.13,54.18,6006300.0,340152752.0
2022-03-10,56.22,57.47,54.9,55.98,9780200.0,573139344.0
2022-03-11,54.93,55.9,53.35,54.18,4944200.0,279032848.0
2022-03-14,53.71,54.04,52.29,52.4,4714600.0,259237371.0
