date,open,high,low,close,volume,amount
2017-04-17,1.137,1.484,1.137,1.484,3900.0,
2017-04-18,1.693,1.693,1.693,1.693,1000.0,
2017-04-19,1.921,1.921,1.921,1.921,3000.0,
2017-04-20,2.174,2.174,2.174,2.174,2400.0,
2017-04-21,2.451,2.451,2.451,2.451,4500.0,
2017-04-24,2.755,2.755,2.755,2.755,11400.0,
2017-04-25,3.091,3.091,3.091,3.091,8900.0,
2017-04-26,3.459,3.459,3.459,3.459,8600.0,
2017-04-27,3.866,3.866,3.866,3.866,71400.0,
2017-04-28,4.314,4.314,4.314,4.314,51800.0,
2017-05-02,4.805,4.805,4.805,4.805,30200.0,
2017-05-03,5.346,5.346,5.346,5.346,79000.0,
2017-05-04,5.941,5.941,5.639,5.941,11649100.0,
2017-05-05,5.830,6.595,5.751,6.177,11521400.0,
2017-05-08,6.454,6.658,5.897,5.958,7691600.0,
2017-05-09,5.812,6.447,5.812,6.282,6227600.0,
2017-05-10,6.280,6.960,6.168,6.466,8269900.0,
2017-05-11,6.832,7.173,6.699,7.173,8961400.0,
2017-05-12,6.906,7.314,6.700,7.314,8216400.0,
2017-05-15,7.390,7.614,6.980,7.005,7375000.0,
2017-05-16,6.600,6.833,6.326,6.786,7023900.0,
2017-05-17,6.610,6.753,6.457,6.457,4967300.0,
2017-05-18,6.329,6.594,6.008,6.103,4778700.0,
2017-05-19,6.062,6.192,5.890,5.958,2875500.0,
2017-05-22,5.906,6.017,5.448,5.519,4203600.0,
2017-05-23,5.463,5.608,5.156,5.301,4215500.0,
2017-05-24,5.257,5.648,5.242,5.565,3570200.0,
2017-05-25,5.527,5.527,5.232,5.454,2309700.0,
2017-05-26,5.535,5.709,5.514,5.557,2378000.0,
2017-05-31,5.885,6.174,5.617,5.651,5480900.0,
2017-06-01,5.448,5.636,5.025,5.025,3936700.0,
2017-06-02,4.923,5.154,4.712,5.033,2820500.0,
2017-06-05,5.171,5.270,5.066,5.104,2033100.0,
2017-06-06,5.084,5.084,4.807,4.938,1518400.0,
2017-06-07,4.971,5.229,4.945,5.215,2617900.0,
2017-06-08,5.200,5.228,5.037,5.065,1904800.0,
2017-06-09,5.027,5.082,4.912,5.082,1646300.0,
2017-06-12,4.938,4.992,4.544,4.648,2690900.0,
2017-06-13,4.620,4.820,4.578,4.780,1878200.0,
2017-06-14,4.780,4.780,4.632,4.699,1309900.0,
2017-06-15,4.699,5.006,4.661,4.952,2315500.0,
2017-06-16,4.938,4.960,4.865,4.928,1019400.0,
2017-06-19,4.965,5.095,4.928,4.945,1297000.0,
2017-06-20,4.923,5.008,4.916,4.941,1115600.0,
2017-06-21,4.916,4.989,4.855,4.874,1096800.0,
2017-06-22,4.821,4.901,4.500,4.632,1514100.0,
2017-06-23,4.719,4.719,4.460,4.582,1093700.0,
2017-06-26,4.573,4.675,4.531,4.646,603600.0,
2017-06-27,4.681,4.859,4.651,4.799,1444700.0,
2017-06-28,4.763,4.776,4.674,4.691,676100.0,
2017-06-29,4.719,4.761,4.687,4.703,436600.0,
2017-06-30,4.705,4.920,4.668,4.814,1693700.0,
2017-07-03,4.792,5.213,4.776,5.142,2513800.0,
2017-07-04,5.114,5.273,5.084,5.178,1864400.0,
2017-07-05,5.132,5.226,5.084,5.202,1539600.0,
2017-07-06,5.221,5.438,5.165,5.331,2365000.0,
2017-07-07,5.286,5.885,5.235,5.535,2265500.0,
2017-07-10,5.423,5.464,5.051,5.060,2381600.0,
2017-07-11,5.054,5.200,4.963,4.990,1021100.0,
2017-07-12,4.995,5.142,4.807,5.113,1188000.0,
2017-07-13,5.057,5.089,4.866,4.904,977600.0,
2017-07-14,4.792,4.821,4.551,4.668,1801500.0,
2017-07-17,4.535,4.585,4.142,4.142,1679100.0,
2017-07-18,4.063,4.107,3.872,3.989,1620100.0,
2017-07-19,3.955,3.978,3.771,3.958,1378000.0,
2017-07-20,3.916,4.062,3.916,3.952,1117600.0,
2017-07-21,3.951,4.019,3.868,3.910,741600.0,
2017-07-24,3.773,4.008,3.773,3.970,802100.0,
2017-07-25,3.989,4.091,3.938,4.025,799400.0,
2017-07-26,4.032,4.060,3.815,3.990,859800.0,
2017-07-27,3.976,4.223,3.904,4.215,1398000.0,
2017-07-28,4.216,4.220,4.092,4.095,603800.0,
2017-07-31,4.076,4.200,4.065,4.153,675600.0,
2017-08-01,4.153,4.190,4.051,4.162,585000.0,
2017-08-02,4.108,4.282,4.063,4.174,1195900.0,
2017-08-03,4.177,4.393,4.177,4.228,1170600.0,
2017-08-04,4.188,4.277,4.019,4.021,994700.0,
2017-08-07,4.037,4.121,4.006,4.063,473800.0,
2017-08-08,4.072,4.075,3.961,4.051,507200.0,
2017-08-09,4.034,4.063,3.992,4.050,303000.0,
2017-08-10,4.063,4.092,3.892,4.005,563500.0,
2017-08-11,3.961,3.961,3.876,3.917,519000.0,
2017-08-14,3.917,4.095,3.891,4.046,655500.0,
2017-08-15,4.067,4.180,4.044,4.108,822900.0,
2017-08-16,4.108,4.290,4.034,4.238,1097500.0,
2017-08-17,4.253,4.277,4.152,4.213,830000.0,
2017-08-18,4.193,4.193,4.086,4.098,469300.0,
2017-08-21,4.116,4.219,4.063,4.212,1128100.0,
2017-08-22,4.206,4.304,4.041,4.076,1641900.0,
2017-08-23,4.053,4.133,3.929,4.107,1411200.0,
2017-08-24,4.127,4.272,4.114,4.152,1766900.0,
2017-08-25,4.121,4.470,4.121,4.420,2344400.0,
2017-08-28,4.514,4.923,4.514,4.923,3027300.0,
2017-08-29,5.006,5.196,4.764,4.909,4208500.0,
2017-08-30,4.855,4.935,4.705,4.748,2284400.0,
2017-08-31,4.767,5.283,4.767,5.283,4099700.0,
2017-09-01,5.275,5.276,5.060,5.200,3708900.0,
2017-09-04,5.171,5.550,5.171,5.291,3919500.0,
2017-09-05,5.286,5.471,5.196,5.353,2041900.0,
2017-09-06,5.263,5.436,5.197,5.361,1913600.0,
2017-09-07,5.381,5.887,5.375,5.417,3120600.0,
2017-09-08,5.432,5.664,5.334,5.550,2643700.0,
2017-09-11,5.562,5.638,5.474,5.594,2027300.0,
2017-09-12,5.667,5.710,5.346,5.385,2675000.0,
2017-09-13,5.326,5.397,5.164,5.302,1765700.0,
2017-09-14,5.237,5.397,5.156,5.222,1132000.0,
2017-09-15,5.257,5.317,5.178,5.254,1018200.0,
2017-09-18,5.245,5.464,5.183,5.403,1222500.0,
2017-09-19,5.642,6.003,5.419,5.920,5192800.0,
2017-09-20,5.957,6.572,5.744,6.572,6103500.0,
2017-09-21,6.469,7.052,6.419,6.699,6254700.0,
2017-09-22,6.690,6.899,6.366,6.773,4215900.0,
