date,open,high,low,close,volume,amount
2022-08-12,69.44,73.24,59.54,59.54,119133600.0,7864877720.0
2022-08-15,56.44,60.63,56.14,56.26,59475600.0,3509521338.0
2022-08-16,55.44,61.1,54.45,60.13,45226200.0,2650930792.0
2022-08-17,59.79,61.3,56.24,57.08,30965000.0,1814533092.0
2022-08-18,56.46,58.23,54.94,57.09,20380000.0,1172481799.0
2022-08-19,57.45,58.54,53.46,53.7,19856200.0,1121274065.0
2022-08-22,53.44,56.4,53.39,55.79,17120100.0,961875912.0
2022-08-23,55.37,60.27,55.24,59.31,21665600.0,1282497748.0
2022-08-24,58.74,60.4,56.67,58.19,12285800.0,719144880.0
2022-08-25,58.45,58.74,53.79,54.74,13214900.0,738634614.0
2022-08-26,54.25,55.38,49.44,49.64,21365300.0,1117262543.0
2022-08-29,48.48,50.71,48.13,48.53,11626600.0,577106090.0
2022-08-30,48.46,52.21,48.36,51.18,16427200.0,845275467.0
2022-08-31,51.44,53.2,49.44,49.62,12120600.0,626793711.0
2022-09-01,56.54,59.24,53.29,53.91,44421200.0,2548811140.0
2022-09-02,54.35,59.24,54.35,55.54,26976400.0,1543447779.0
2022-09-05,54.54,55.06,50.71,51.61,20327700.0,1082191562.0
2022-09-06,52.39,53.02,50.78,52.74,12381500.0,649731420.0
2022-09-07,53.04,56.73,52.74,54.31,14913200.0,826665169.0
2022-09-08,54.3,56.64,53.95,56.06,12793000.0,721847522.0
2022-09-09,56.45,56.92,54.36,55.24,6704100.0,375469782.0
2022-09-13,55.63,57.66,55.02,55.25,7799800.0,441953878.0
2022-09-14,54.44,58.93,53.77,58.65,14025100.0,807139020.0
2022-09-15,57.95,60.84,55.24,55.64,16768000.0,978247438.0
2022-09-16,55.33,64.64,55.11,62.04,27395200.0,1703335364.0
2022-09-19,62.04,67.47,61.52,62.31,21933400.0,1416638945.0
2022-09-20,62.94,64.32,60.45,62.15,11899000.0,747926762.0
2022-09-21,61.94,62.44,59.5,60.25,10193100.0,626149854.0
2022-09-22,60.02,65.03,59.84,62.78,11563200.0,732528779.0
2022-09-23,62.23,63.78,60.24,60.56,10718900.0,665991854.0
2022-09-26,59.75,61.8,58.77,59.74,9431700.0,571944927.0
2022-09-27,59.74,61.19,57.55,61.19,10398600.0,623078362.0
2022-09-28,60.24,60.49,56.81,57.63,10687500.0,629618802.0
2022-09-29,58.36,61.02,57.44,60.34,10062100.0,606463548.0
2022-09-30,60.22,61.42,58.25,58.26,7163300.0,430264403.0
2022-10-10,55.34,55.34,46.5,46.5,17192300.0,820001057.0
2022-10-11,45.41,45.89,37.17,37.44,42514800.0,1682176638.0
2022-10-12,36.63,38.47,35.66,37.99,34500100.0,1298749951.0
2022-10-13,37.24,40.08,36.89,38.24,27786700.0,1084160627.0
2022-10-14,38.64,38.9,36.93,38.36,26473500.0,1023812555.0
2022-10-17,37.55,40.64,37.47,40.02,31442300.0,1243877315.0
2022-10-18,39.59,39.93,38.79,39.2,17666700.0,703154618.0
2022-10-19,38.93,39.61,37.04,37.24,21493800.0,827730571.0
2022-10-20,36.84,41.3,36.64,39.14,38089300.0,1504568225.0
2022-10-21,38.44,38.44,37.24,37.79,20923500.0,802884397.0
2022-10-24,37.79,39.43,37.73,38.24,20343700.0,797056346.0
2022-10-25,38.03,39.2,37.2,38.33,16350100.0,636333812.0
2022-10-26,38.55,39.74,37.54,39.38,23138700.0,914894684.0
2022-10-27,39.89,39.94,38.12,38.84,25173600.0,992040058.0
2022-10-28,38.7,39.81,38.24,38.39,21378800.0,849788381.0
2022-10-31,38.62,45.73,38.55,44.12,40248300.0,1706268668.0
2022-11-01,43.44,45.59,43.33,44.51,23373900.0,1047777884.0
2022-11-02,44.53,45.64,43.65,44.02,18341100.0,829035558.0
2022-11-03,44.01,44.91,43.05,44.35,18195300.0,812521015.0
2022-11-04,43.55,44.31,42.54,43.78,19257500.0,846804672.0
2022-11-07,43.44,43.69,42.02,43.03,19138600.0,832188380.0
2022-11-08,43.02,47.57,43.02,46.47,31993700.0,1472975056.0
2022-11-09,46.44,49.81,46.41,48.83,25901600.0,1272265032.0
2022-11-10,48.14,48.74,45.53,45.69,19736100.0,933546960.0
2022-11-11,47.32,47.34,45.45,46.04,14390600.0,672521789.0
2022-11-14,46.12,46.24,43.98,45.04,11937600.0,540066211.0
2022-11-15,45.04,47.99,44.57,47.0,13827600.0,657139742.0
2022-11-16,47.39,47.39,45.0,45.21,11987100.0,557343153.0
2022-11-17,44.9,46.82,44.14,46.33,11383400.0,523903870.0
2022-11-18,45.95,46.82,44.86,45.19,9000800.0,417400502.0
2022-11-21,44.55,45.83,44.55,45.18,6045700.0,276224993.0
2022-11-22,45.12,46.42,44.44,44.97,9095400.0,419672224.0
2022-11-23,45.02,45.35,41.43,43.04,14601700.0,635739254.0
2022-11-24,43.0,44.11,42.86,43.42,7556600.0,333019783.0
2022-11-25,43.04,44.59,42.46,42.9,7923900.0,347969584.0
2022-11-28,42.14,43.03,41.1,41.35,9961800.0,420936704.0
2022-11-29,41.29,42.16,41.02,41.56,8446800.0,356285617.0
2022-11-30,41.62,41.74,40.5,40.88,8475500.0,352186874.0
2022-12-01,41.53,42.94,41.4,42.15,10637200.0,454048685.0
2022-12-02,41.84,43.94,41.75,42.69,9510800.0,413982127.0
2022-12-05,43.32,43.61,42.36,43.09,6706100.0,291481629.0
2022-12-06,42.59,45.94,42.59,44.51,13244400.0,595768888.0
2022-12-07,44.44,45.18,44.02,44.64,6987400.0,315216789.0
2022-12-08,44.44,45.59,44.04,44.72,7556500.0,343351316.0
2022-12-09,44.58,46.21,44.48,45.19,12336400.0,565127074.0
2022-12-12,44.8,46.79,44.39,45.65,8902200.0,411998516.0
2022-12-13,45.47,45.77,44.24,44.33,6796600.0,307762781.0
2022-12-14,45.86,46.09,44.04,44.05,6806800.0,309861997.0
2022-12-15,43.7,45.07,43.56,43.68,6114200.0,273874556.0
2022-12-16,43.7,43.7,42.29,42.55,6226700.0,269181068.0
2022-12-19,42.49,42.72,41.04,41.28,4817100.0,203037725.0
2022-12-20,41.4,41.86,40.87,41.27,3675100.0,153829833.0
2022-12-21,41.27,41.28,39.64,39.95,4578400.0,186957447.0
2022-12-22,40.24,40.4,39.14,39.2,3739400.0,150310932.0
2022-12-23,39.04,39.82,38.69,39.52,4174800.0,166147177.0
2022-12-26,39.52,41.0,39.5,40.64,4633000.0,189889442.0
2022-12-27,40.66,41.14,39.99,40.77,4279600.0,176270018.0
2022-12-28,40.74,40.74,39.76,39.92,2904200.0,118129881.0
2022-12-29,40.04,40.57,39.52,40.04,3400800.0,138240049.0
