date,open,high,low,close,volume,amount
2022-01-04,84.54,85.06,78.42,79.84,19493800.0,2344618880.0
2022-01-05,79.84,80.22,77.81,79.03,11044200.0,1303389040.0
2022-01-06,79.03,82.15,78.3,80.46,9641100.0,1167546928.0
2022-01-07,80.75,82.29,79.78,80.24,6557700.0,798886496.0
2022-01-10,80.1,80.67,76.89,78.87,6517600.0,774782128.0
2022-01-11,79.01,79.36,76.28,76.43,6312800.0,733946496.0
2022-01-12,76.79,79.4,76.78,79.01,7144900.0,840921280.0
2022-01-13,78.5,79.26,77.28,77.43,4905400.0,575553696.0
2022-01-14,77.62,79.22,77.3,77.95,5599900.0,660933680.0
2022-01-17,78.42,79.97,77.85,79.5,6775900.0,807280240.0
2022-01-18,79.5,80.91,78.14,78.67,7457700.0,891795392.0
2022-01-19,78.42,79.43,77.07,77.66,4935900.0,577915792.0
2022-01-20,77.75,79.42,76.28,76.54,5532900.0,645063776.0
2022-01-21,76.41,77.19,74.48,75.17,5743900.0,654549648.0
2022-01-24,77.18,80.57,76.69,80.44,11566500.0,1375142400.0
2022-01-25,80.24,81.63,79.69,79.71,8857800.0,1073274560.0
2022-01-26,80.39,84.3,79.81,83.63,11217200.0,1393937392.0
2022-01-27,81.78,83.46,80.3,81.7,7699300.0,947556704.0
2022-01-28,82.3,82.44,78.52,78.9,7379200.0,893894368.0
2022-02-07,80.77,81.78,79.5,79.79,5310700.0,641659808.0
2022-02-08,79.16,79.75,74.77,76.54,8418300.0,966069120.0
2022-02-09,76.41,78.71,75.95,78.42,5318300.0,620564992.0
2022-02-10,78.42,80.09,77.42,77.54,5443400.0,642622608.0
2022-02-11,77.39,78.36,75.77,76.12,4749400.0,550995392.0
2022-02-14,75.27,75.67,73.06,73.99,5371700.0,599315520.0
2022-02-15,74.75,81.1,74.33,81.1,11584500.0,1373444640.0
2022-02-16,81.11,83.43,80.64,81.71,6868400.0,846316928.0
2022-02-17,81.11,84.12,81.11,83.12,7097800.0,884030992.0
2022-02-18,82.24,84.77,81.79,82.77,4989800.0,623519184.0
2022-02-21,82.78,82.89,81.24,81.72,3041400.0,375044720.0
2022-02-22,81.1,83.66,80.15,82.83,5198800.0,642432768.0
2022-02-23,82.99,88.02,82.99,86.34,11186500.0,1451516416.0
2022-02-24,86.34,87.8,82.48,84.5,9610900.0,1226911872.0
2022-02-25,86.48,87.0,84.13,85.0,6003300.0,770658272.0
2022-02-28,84.43,86.18,84.13,85.19,4236200.0,543116880.0
2022-03-01,85.14,85.93,83.81,85.74,4224000.0,539191024.0
2022-03-02,85.07,85.07,83.19,84.4,4469300.0,564949088.0
2022-03-03,85.79,85.79,82.48,82.5,4383900.0,552843008.0
2022-03-04,81.78,86.27,81.61,83.83,6613700.0,840428352.0
2022-03-07,83.13,84.92,81.11,81.97,5826100.0,723964400.0
2022-03-08,81.78,85.73,80.44,82.79,7381100.0,923124176.0
2022-03-09,83.12,86.06,81.33,85.23,9703500.0,1233614880.0
2022-03-10,87.82,88.49,83.59,83.86,9692500.0,1250892928.0
2022-03-11,81.79,82.69,77.52,80.34,10445900.0,1257073104.0
2022-03-14,79.02,80.32,77.81,78.96,3529300.0,420264064.0
2022-03-15,78.42,81.24,77.1,77.22,6221000.0,739981712.0
2022-03-16,78.77,82.02,75.75,81.57,7516200.0,894117392.0
2022-03-17,82.97,84.13,81.45,81.45,7351700.0,912078432.0
2022-03-18,80.84,82.38,80.32,80.81,3537300.0,431007744.0
2022-03-21,80.58,82.12,80.31,81.12,3111000.0,379546496.0
