path	bytes	sha256	functions
research/strategic_evidence/reachability.py	88598	556afc7b6d980bca6942ee799c154357b72f86fb00c5b417121535a26f6190ac	43
research/strategic_evidence/reachability_runner.py	15827	318a27bd0ad2795d02b0886306cb2283ce2829d85c90d22ebcac4be0b89e5d35	14
research/strategic_evidence/replay.py	15926	3412f171f5ba9e82e738b5285abb71f91d12309a8bb41a9451bdfbbe2c453e22	10
research/strategic_evidence/report.py	53293	cc6f5470dbd46dc2cc74ad14e318c04e8a4996bdf03b0a95df0cc422da77ccdd	23
research/strategic_evidence/trace.py	3842	fc69053c6747597dc2d1da81dd1c2dbad9e333d6d29436b34504e743e9c1fa6a	4
research/strategic_evidence/witness_ablation.py	37677	dab886e5034368ae1b6c984d2fc3076c8f7d692fbc372e01b4341ef6977dd635	33
research/strategic_evidence/witness_ablation_runner.py	93778	7139b6aea3875cf10b660486bcc2d7f3683ae9fddb2a0c46be3262f9c1369019	57
research/tencent_history_adapter.py	17287	5c6e27b8a7cdee9b167858e520e81ddba2e8f2f27508fc40d7cd0afe1a1e0d3e	15
research/trade_attribution.py	3262	6721c5f741112d0779ded60738f305150f897149855365026553e8a57f3e8073	2
research/universe_stress.py	1085	33f69e703b6ac2b31f577414cfdf552267b9114cfe10fe9f91d957abe63fd978	1
research/window_competitor_adapter.py	43183	35c137e9c74f7430f2c12d80f2698c55ca168d2d1f0c3635b9797c586da8dfd9	35
research/window_matrix.py	5795	0e06204dd34758589a8258adadc14b4071b124c8d7d8847f10f77448277d3098	5
research/window_outperformance.py	13238	838fed5c8d6ef360e932a6a0e1abb8b51f2783312489f94bbd905b29afcb76a4	11
scripts/__init__.py	57	7fada2eec2491ad844f35caf87088c5b3835482583dad29e75cbdeb353546fc1	0
scripts/analyze_risk_differential.py	215	6b97a2a12bb99e7b0e7de52aa2608186b289476d5d21110de855bfcbce4f15bd	0
scripts/backfill_tencent_history.py	179	78ff82140f9e83406a226fbd8660d8bb1b3c601d4630209f9ed3d0847e7d12f5	0
scripts/build_reproducible_wheel.py	7897	44a7453219d8830574c1891f06e0fd7f4d878771c734620c7434e763f1e37be4	10
scripts/future_holdout.py	152	70d92ed33d46022723e89119a20451d21c66f4f5add17a875006dcef53c67954	0
scripts/production_observation.py	6285	1a372bb4bfb8939a0a0bb1e1034a859f9759e82b3a0feebb3b0ef73e790c6e5e	9
scripts/run_absolute_generalization_acceptance.py	29926	9e591d769b5dbe8d08dd30324871bcbe32a811cdca858834032aa6b709a05655	28
scripts/run_current_heads_competitor_matrix.py	178	796fc7b52bd9ae7fbcf6101144f919a6e200bf5c354c1123c5ed22f205ea509f	0
scripts/run_five_window_outperformance.py	168	23cb47fbbac2d72bf0a5713fb2f28df9c7a1484ef4b74e89af3f5daa80f805a9	0
scripts/run_pareto_evidence.py	5304	e9df6cd75e188c46fcb3a22a035558c396520e9fa83e34fe1f529486d6b6da28	6
scripts/run_performance_diagnostic.py	192	114543433045cdb4f78180ef61072e6c79f0d4000244134061bfaecffd5db2ae	0
scripts/run_risk_counterfactual.py	187	8a4bdea4eedcf026d164064a1b983d3aeaad9d0dd81b9868f8edaf748dbd44b8	0
scripts/run_risk_differential.py	158	e97f07d0204abc5be34c8e3b694f969889f9fa7794c337753aacaf0dc6496965	0
scripts/run_strategic_evidence_closure.py	7171	a79879c347b74bbb23c624cbbc71fd69916d49f77ba28d33f503df49d4822cd3	8
scripts/run_strategic_grant_acceptance.py	13888	701054903f1d2ebaa9d3cb6ec54acb40764f9af9e5c96fb3f693fa4fc9acbb37	15
scripts/run_strategic_ownership_acceptance.py	79715	4397dd77601231b0f925f7829a4f5d27bb9e92ce9eaaecaee23f850ec3f0b3fe	49
scripts/run_window_competitor_adapter.py	166	f31053f589a806d2b6191bba6509956b29148551ea9c9497676ac3ba811ec843	0
scripts/run_window_outperformance.py	158	87bd0f73852bc39bb5df742cfd46695259e122b35adc292e2e97d1932dcf5f97	0
scripts/verify_decision_equivalence.py	1072	aeb8f4fd2b62c40eb7305b9be22366e57743f372fecbcf2d64c4ab254a8838d1	1
setup.py	1462	2f377dc92fd450196ce5de850130f734071490beb719281566a926dbf41850da	1
tests/_absolute_contract_fixture.py	803	d4c3810d38f8e472f3b3ac829c64ecedfd253937d978fee8d63a2a3b7a19c1dd	1
tests/_absolute_generalization_acceptance_fixture.py	28310	4c0ad3b2a6ca54bfec7e7359a0b98de2ea14866a03e1f20be55b8cc76b1e77d6	26
tests/_absolute_generalization_metrics_fixture.py	33992	8a42368b22ff217fb9adc9c943fffab3cc1233d09b05c35ad33f1b2c41919932	20
tests/_absolute_generalization_reachability_fixture.py	5862	d38420a425dc942e4693b75bcac621b17bab654b8449fa2ab493e780121c1f03	3
tests/_attribution_identity_reconciliation_cases.py	7182	46405304442396a7c9c1799e6be2313f8d799adbd2af1cb60774a54bb5d2fe0e	6
tests/_attribution_identity_retention_cases.py	23638	d4d3fecca7788d475d720452a84fdf6f51d03637124144831affc7ebc0547272	13
tests/_attribution_identity_schema_cases.py	3226	ef55ecaa69ae0f203a027953286fb750a1147291a03c2041dc0f2c909e3e35d8	2
tests/_engine_account_and_metrics_cases.py	10211	b79f73dbd60f0e120e2e0d67626490019320c9298e3bafdcf6df4a2a934b9aa8	17
tests/_engine_decision_state_cases.py	5814	ab0f5dd209d9cc42fd1026d1237b7c5e541c38caef94f20327f47e2977ed20b1	10
tests/_engineering_holdout_observation_cases.py	12351	6e6118a5deb38af971e78a5990b5f59aaa2129f3f9dcd1fe5e3a53c137d5ed40	6
tests/_engineering_provenance_universe_cases.py	3817	3e44c90e64a066198f74a97ccac21e5d06d24028387b86c44baef4ffb2e7997b	2
tests/_execution_order_lifecycle_cases.py	19186	dd7f8a709733d05b038de02334d3b9effa8011dad74630e4562e6147fbbc57bf	15
tests/_execution_risk_and_fill_cases.py	15346	2e3c8b375e33b4c37664665668d1581c9ff97bd97b500fa2c72d091eda044ca1	4
tests/_future_holdout_carrier_identity_cases.py	8035	a80a06007d7e78984bcc1d93625093e7a555a39354264676b42a9efcf36af5a0	8
tests/_future_holdout_replay_binding_cases.py	12237	b7804641568181c4b98af8da4285c1ecd36c5cf8adfd71402a40385c5b91fa32	7
tests/_future_holdout_transaction_recovery_cases.py	16740	aa7acc10dabcf05b4c447232242653a43dfed8fe5dc97d90d35b5d96362cc49b	19
tests/_generalization_matrix_projection_cases.py	13128	9b267f0fa0ffeae5ebb23067d119385d76f54fb8c5984bc3e76a827da02c2804	9
tests/_generalization_matrix_provenance_cases.py	17747	e8a5b18fddba6ab8e92e83fd4480f44f040dde075824e874ff1234234aff4507	16
tests/_generalization_matrix_replay_cases.py	16674	6007ba5631e75c3d5f0fa26fd1c3d4f5bf2b0cda631cf326777e018ecc47261f	12
tests/_generalization_matrix_validation_cases.py	9207	f42dec9fadad9e3806cd063471ebb9ab956ab172937380281f2f0aa11a2d803c	6
tests/_generalization_policy_cases.py	9742	944954697c5b09d770c9f07372a4f4c9f138bdb7f29b16c8d488ffa01aa6d799	7
tests/_generalization_runner_cases.py	6355	c04ed704376bc595e8cebe93b44a5b8130bd9ffe35b2817db5969bb3a9e2b815	3
tests/_generalization_validation_metrics_cases.py	10722	080633b432a1bdefe21182cb16950c838208f4da9ab2fde7db46390cf286281a	8
tests/_lifecycle_freeze_execution_cases.py	12790	7260a9c3a0928dacfc83758b592b83d23882e7030d43fbeac7093960332976f0	4
tests/_lifecycle_freeze_tactical_probe_cases.py	27652	d2c335d69ed966196d3b86ab5f3abdadc0572cf802b65910000ee7daae8f4f06	16
tests/_lifecycle_leader_recovery_cases.py	24184	3561a7edc201c3f4f721d7f90b93690ffbb981497030cbd09d7b995a5cabfe8e	12
tests/_lifecycle_protected_repair_cases.py	20986	f66db0a2c094e4905fecaff086c77bbe94f4d32b347adf8699ac4a8918bf2d90	7
tests/_lifecycle_recovery_admission_cases.py	18697	fee542b814f44ab669af995b7b35e1f73273a35e4b32e4a6d10c4ae5cbc4112c	8
tests/_lifecycle_restoration_risk_cases.py	29979	4c370adcfce8197da7029c43f54aebea85b85c4a70f91542c0a8bbcb68fe3b6f	15
tests/_lifecycle_strategic_cohort_cases.py	36822	8f6d035f4f538100e3f0825bc4b76063e85b7172074a82c89cebe414e3995efa	24
tests/_lifecycle_strategic_discovery_cases.py	20364	d8a244e68c9575eec832005652819b9f1e4eed5a5e58d2c50215bcb7ff8060c4	15
tests/_lifecycle_strategic_guard_cases.py	34494	1bda09182a3238bf14387062b89957b777dfe47dc2688ef3f956268da6134cfc	18
tests/_lifecycle_strategic_restore_cases.py	36816	d75c081ab07ee895f74ced01235f1fa1424e6efc3837543951fe202d71ab2d97	18
tests/_recovery_post_shock_cases.py	7845	7acb71061cf5dd7178a255f9b3fcd8197b8cf56c1b52508d9ebd1a5fcac68de2	4
tests/_recovery_restore_completion_cases.py	14070	ff392bb976e846f1b937eb32aeb4dbec19e11b244d609117c908c5138c620919	8
tests/_risk_transition_overlay_budget_cases.py	7410	e8f5c07a2daa81378d01c7db25646f04bde643fd4b4483b9dc02b31da894987a	6
tests/_risk_transition_strategic_cap_cases.py	9684	5fb311ed0e83292701ceb926963ad6d785846ce897310dbea1de4c68bf968cb4	6
tests/architecture/__init__.py	62	69b9312eacf66a47bf6c2fa4f0bf930684de345e202de60de16bc6d056822ad9	0
tests/architecture/_analysis.py	25661	cda36a543e18cbf485ae6db0a940b0e28087a0873768c7a34baf61fc8f39250a	22
tests/architecture/_analysis_authorities.py	32491	2496b7f8238e8b367fa6e4b3b82a19f4e077b83b1b804624f6926b7b0486dffd	0
tests/architecture/_analysis_debt.py	41296	97034ef02b4798a928574766ea970af45eaab83a31bc14528552cb02299c59bf	41
tests/architecture/_analysis_relocations.py	24048	b2cc88da228922a38a601c3df3b7577a9c6621c099d6748815bdea5bbe4a27a1	0
tests/architecture/_baseline.py	3576	4d2ad61b65b79d76788875c489045afc67c6a604ff5aff6e96056ac7a8d61291	0
tests/architecture/_cli_transport.py	18732	e29db84a8425778623675828825f6340ee797cc016ace5a2f032f11c4285be2c	18
tests/architecture/_code_audit_api_projection.py	2515	d86b67ddf0a5529b7fc44066275b643d9ef27cb1aa62e0fe2b74985885433a19	2
tests/architecture/_compatibility_baseline.py	37590	15621ca7fc4b5b20a8de24de357b93fc05d100ff824d75b0b8463b74192c1747	44
tests/architecture/_compatibility_validation_runtime.py	24623	e6ebf33e10069538012ed84cb760b863f4fa85e433289ba34b1a400279e8efd4	15
tests/architecture/_config_transport.py	12444	9e81ee4a88a14afec546b92d8c6b43495a56d5274cfea931e0d1477e712acc2b	15
tests/architecture/_cross_vintage_api_projection.py	2985	52b2eb4d106a9420761d0e78f8bf6174b0a5154d016875de2925fa31a916fcba	2
tests/architecture/_execution_application_transport.py	13365	4def1b12a454cd339201ab274646652a8a9b266eb0b3b285a077e929c6e4d756	10
tests/architecture/_explicit_delegation.py	2781	f89468e7bddd698e422dae638ceb4fe6a0ca929b396f5f40fcac1439aea4d68b	3
