date,open,high,low,close,preclose,volume,amount,volume_unit,special_treatment
2023-05-19,66.0,71.66,65.0,68.35,23.6,44507846,3006886057.45,shares,0
2023-05-22,70.7,73.33,69.12,72.0,68.35,22599704,1607382908.93,shares,0
2023-05-23,71.38,72.2,68.4,70.3,72.0,14873810,1048069558.65,shares,0
2023-05-24,70.91,74.02,69.18,71.04,70.3,12381101,885810238.49,shares,0
2023-05-25,70.3,71.7,66.8,68.97,71.04,12057855,832263423.51,shares,0
2023-05-26,69.0,72.95,68.33,70.9,68.97,9772875,693061790.25,shares,0
2023-05-29,70.61,73.77,69.06,72.88,70.9,9367080,672864769.32,shares,0
2023-05-30,72.21,73.66,71.14,73.42,72.88,6976989,505021807.33,shares,0
2023-05-31,72.4,87.98,72.4,84.84,73.42,12007285,975571066.13,shares,0
2023-06-01,83.88,86.89,80.69,82.11,84.84,10821630,893264532.34,shares,0
2023-06-02,81.8,83.72,80.99,82.25,82.11,5704249,469559751.57,shares,0
2023-06-05,84.36,87.67,79.63,80.08,82.25,8729886,725815874.44,shares,0
2023-06-06,80.5,82.63,79.7,80.08,80.08,5962750,482577521.94,shares,0
2023-06-07,80.29,82.78,79.3,80.57,80.08,5100282,412821268.7,shares,0
2023-06-08,80.7,81.69,77.0,77.2,80.57,6278309,498857432.81,shares,0
2023-06-09,77.28,82.66,77.28,82.06,77.2,6402569,514346800.64,shares,0
2023-06-12,81.24,82.15,80.48,81.39,82.06,3102798,252012441.94,shares,0
2023-06-13,81.08,82.59,78.19,82.39,81.39,4284868,345966997.68,shares,0
2023-06-14,82.0,84.88,81.1,82.62,82.39,3235782,268120669.95,shares,0
2023-06-15,82.1,84.63,79.8,80.82,82.62,3702412,302968045.97,shares,0
2023-06-16,80.0,80.99,78.18,78.99,80.82,5185732,410620393.15,shares,0
2023-06-19,79.52,81.45,78.51,80.0,78.99,4654903,372206882.91,shares,0
2023-06-20,79.0,79.5,74.82,77.09,80.0,8100751,620106717.66,shares,0
2023-06-21,76.12,76.4,73.01,73.74,77.09,3671580,275375412.44,shares,0
2023-06-26,73.5,78.65,73.0,76.88,73.74,4196234,321382283.72,shares,0
2023-06-27,76.11,78.76,76.0,77.75,76.88,2812307,218276854.38,shares,0
