date,open,high,low,close,preclose,volume,amount,volume_unit,special_treatment
2022-08-12,70.0,73.8,60.1,60.1,36.0,119133625,7864877720.0,shares,0
2022-08-15,57.0,61.19,56.7,56.82,60.1,59475630,3509521337.96,shares,0
2022-08-16,56.0,61.66,55.01,60.69,56.82,45226222,2650930792.06,shares,0
2022-08-17,60.35,61.86,56.8,57.64,60.69,30965039,1814533092.27,shares,0
2022-08-18,57.02,58.79,55.5,57.65,57.64,20379982,1172481798.5,shares,0
2022-08-19,58.01,59.1,54.02,54.26,57.65,19856238,1121274064.89,shares,0
2022-08-22,54.0,56.96,53.95,56.35,54.26,17120114,961875912.21,shares,0
2022-08-23,55.93,60.83,55.8,59.87,56.35,21665593,1282497748.06,shares,0
2022-08-24,59.3,60.96,57.23,58.75,59.87,12285793,719144880.2,shares,0
2022-08-25,59.01,59.3,54.35,55.3,58.75,13214891,738634613.75,shares,0
2022-08-26,54.81,55.94,50.0,50.2,55.3,21365287,1117262543.36,shares,0
2022-08-29,49.04,51.27,48.69,49.09,50.2,11626638,577106090.08,shares,0
2022-08-30,49.02,52.77,48.92,51.74,49.09,16427156,845275466.9,shares,0
2022-08-31,52.0,53.76,50.0,50.18,51.74,12120606,626793711.33,shares,0
2022-09-01,57.1,59.8,53.85,54.47,50.18,44421194,2548811140.05,shares,0
2022-09-02,54.91,59.8,54.91,56.1,54.47,26976389,1543447778.87,shares,0
2022-09-05,55.1,55.62,51.27,52.17,56.1,20327715,1082191561.78,shares,0
2022-09-06,52.95,53.58,51.34,53.3,52.17,12381516,649731419.85,shares,0
2022-09-07,53.6,57.29,53.3,54.87,53.3,14913190,826665169.02,shares,0
2022-09-08,54.86,57.2,54.51,56.62,54.87,12792981,721847521.78,shares,0
2022-09-09,57.01,57.48,54.92,55.8,56.62,6704055,375469781.7,shares,0
2022-09-13,56.19,58.22,55.58,55.81,55.8,7799766,441953878.4,shares,0
2022-09-14,55.0,59.49,54.33,59.21,55.81,14025063,807139020.09,shares,0
2022-09-15,58.51,61.4,55.8,56.2,59.21,16768023,978247437.85,shares,0
2022-09-16,55.89,65.2,55.67,62.6,56.2,27395163,1703335363.52,shares,0
2022-09-19,62.6,68.03,62.08,62.87,62.6,21933351,1416638945.39,shares,0
2022-09-20,63.5,64.88,61.01,62.71,62.87,11899013,747926762.38,shares,0
2022-09-21,62.5,63.0,60.06,60.81,62.71,10193140,626149854.32,shares,0
2022-09-22,60.58,65.59,60.4,63.34,60.81,11563234,732528779.38,shares,0
2022-09-23,62.79,64.34,60.8,61.12,63.34,10718889,665991853.91,shares,0
2022-09-26,60.31,62.36,59.33,60.3,61.12,9431701,571944927.31,shares,0
2022-09-27,60.3,61.75,58.11,61.75,60.3,10398608,623078361.81,shares,0
2022-09-28,60.8,61.05,57.37,58.19,61.75,10687492,629618802.36,shares,0
2022-09-29,58.92,61.58,58.0,60.9,58.19,10062079,606463548.41,shares,0
2022-09-30,60.78,61.98,58.81,58.82,60.9,7163333,430264402.93,shares,0
2022-10-10,55.9,55.9,47.06,47.06,58.82,17192303,820001057.2,shares,0
2022-10-11,45.97,46.45,37.73,38.0,47.06,42514760,1682176637.8,shares,0
2022-10-12,37.19,39.03,36.22,38.55,38.0,34500124,1298749951.07,shares,0
2022-10-13,37.8,40.64,37.45,38.8,38.55,27786701,1084160627.33,shares,0
2022-10-14,39.2,39.46,37.49,38.92,38.8,26473453,1023812554.52,shares,0
2022-10-17,38.11,41.2,38.03,40.58,38.92,31442274,1243877315.02,shares,0
2022-10-18,40.15,40.49,39.35,39.76,40.58,17666665,703154618.17,shares,0
2022-10-19,39.49,40.17,37.6,37.8,39.76,21493781,827730571.46,shares,0
2022-10-20,37.4,41.86,37.2,39.7,37.8,38089292,1504568225.45,shares,0
2022-10-21,39.0,39.0,37.8,38.35,39.7,20923505,802884396.84,shares,0
2022-10-24,38.35,39.99,38.29,38.8,38.35,20343718,797056345.75,shares,0
2022-10-25,38.59,39.76,37.76,38.89,38.8,16350062,636333812.4,shares,0
2022-10-26,39.11,40.3,38.1,39.94,38.89,23138719,914894684.26,shares,0
2022-10-27,40.45,40.5,38.68,39.4,39.94,25173627,992040058.13,shares,0
2022-10-28,39.26,40.37,38.8,38.95,39.4,21378750,849788380.57,shares,0
2022-10-31,39.18,46.29,39.11,44.68,38.95,40248329,1706268667.65,shares,0
2022-11-01,44.0,46.15,43.89,45.07,44.68,23373920,1047777883.5,shares,0
2022-11-02,45.09,46.2,44.21,44.58,45.07,18341068,829035558.22,shares,0
2022-11-03,44.57,45.47,43.61,44.91,44.58,18195328,812521014.91,shares,0
2022-11-04,44.11,44.87,43.1,44.34,44.91,19257466,846804671.87,shares,0
2022-11-07,44.0,44.25,42.58,43.59,44.34,19138619,832188380.2,shares,0
2022-11-08,43.58,48.13,43.58,47.03,43.59,31993667,1472975056.26,shares,0
2022-11-09,47.0,50.37,46.97,49.39,47.03,25901582,1272265031.74,shares,0
2022-11-10,48.7,49.3,46.09,46.25,49.39,19736091,933546959.85,shares,0
2022-11-11,47.88,47.9,46.01,46.6,46.25,14390587,672521788.95,shares,0
2022-11-14,46.68,46.8,44.54,45.6,46.6,11937612,540066210.78,shares,0
2022-11-15,45.6,48.55,45.13,47.56,45.6,13827590,657139741.83,shares,0
2022-11-16,47.95,47.95,45.56,45.77,47.56,11987054,557343153.44,shares,0
2022-11-17,45.46,47.38,44.7,46.89,45.77,11383354,523903869.51,shares,0
2022-11-18,46.51,47.38,45.42,45.75,46.89,9000789,417400502.4,shares,0
2022-11-21,45.11,46.39,45.11,45.74,45.75,6045714,276224992.55,shares,0
2022-11-22,45.68,46.98,45.0,45.53,45.74,9095430,419672223.91,shares,0
2022-11-23,45.58,45.91,41.99,43.6,45.53,14601665,635739253.75,shares,0
2022-11-24,43.56,44.67,43.42,43.98,43.6,7556608,333019782.7,shares,0
2022-11-25,43.6,45.15,43.02,43.46,43.98,7923905,347969583.77,shares,0
2022-11-28,42.7,43.59,41.66,41.91,43.46,9961786,420936703.88,shares,0
2022-11-29,41.85,42.72,41.58,42.12,41.91,8446791,356285617.45,shares,0
2022-11-30,42.18,42.3,41.06,41.44,42.12,8475504,352186873.69,shares,0
2022-12-01,42.09,43.5,41.96,42.71,41.44,10637205,454048684.78,shares,0
2022-12-02,42.4,44.5,42.31,43.25,42.71,9510821,413982126.75,shares,0
2022-12-05,43.88,44.17,42.92,43.65,43.25,6706085,291481628.69,shares,0
2022-12-06,43.15,46.5,43.15,45.07,43.65,13244351,595768887.78,shares,0
2022-12-07,45.0,45.74,44.58,45.2,45.07,6987422,315216789.4,shares,0
2022-12-08,45.0,46.15,44.6,45.28,45.2,7556530,343351316.42,shares,0
2022-12-09,45.14,46.77,45.04,45.75,45.28,12336370,565127073.82,shares,0
2022-12-12,45.36,47.35,44.95,46.21,45.75,8902193,411998516.48,shares,0
2022-12-13,46.03,46.33,44.8,44.89,46.21,6796636,307762781.34,shares,0
2022-12-14,46.42,46.65,44.6,44.61,44.89,6806794,309861997.25,shares,0
2022-12-15,44.26,45.63,44.12,44.24,44.61,6114217,273874555.54,shares,0
2022-12-16,44.26,44.26,42.85,43.11,44.24,6226726,269181067.5,shares,0
2022-12-19,43.05,43.28,41.6,41.84,43.11,4817118,203037724.56,shares,0
2022-12-20,41.96,42.42,41.43,41.83,41.84,3675107,153829833.18,shares,0
2022-12-21,41.83,41.84,40.2,40.51,41.83,4578371,186957447.18,shares,0
2022-12-22,40.8,40.96,39.7,39.76,40.51,3739417,150310931.84,shares,0
2022-12-23,39.6,40.38,39.25,40.08,39.76,4174819,166147176.88,shares,0
2022-12-26,40.08,41.56,40.06,41.2,40.08,4632977,189889441.63,shares,0
2022-12-27,41.22,41.7,40.55,41.33,41.2,4279635,176270018.07,shares,0
2022-12-28,41.3,41.3,40.32,40.48,41.33,2904206,118129880.92,shares,0
2022-12-29,40.6,41.13,40.08,40.6,40.48,3400797,138240049.37,shares,0
2022-12-30,40.84,41.18,40.08,40.12,40.6,3035871,122961862.54,shares,0
2023-01-03,40.8,42.45,40.23,42.02,40.12,10156035,421831597.54,shares,0
2023-01-04,42.15,42.88,41.0,41.05,42.02,7127159,297475705.96,shares,0
2023-01-05,41.01,41.66,40.4,41.47,41.05,7097100,291855194.26,shares,0
2023-01-06,41.29,43.43,41.01,42.37,41.47,10236740,435087444.75,shares,0
2023-01-09,42.38,42.96,41.24,41.99,42.37,5645296,237664185.16,shares,0
2023-01-10,42.33,43.28,42.03,42.21,41.99,4760041,202012941.02,shares,0
2023-01-11,42.16,43.04,41.43,41.49,42.21,5411156,228692134.13,shares,0
2023-01-12,41.53,41.59,40.63,40.71,41.49,5112671,209172777.78,shares,0
2023-01-13,40.86,41.17,40.2,40.62,40.71,4229160,171605164.24,shares,0
2023-01-16,40.4,41.88,40.3,41.61,40.62,6798306,281434530.22,shares,0
2023-01-17,42.48,42.8,40.3,41.8,41.61,9272945,387756030.32,shares,0
2023-01-18,41.9,42.5,41.13,41.99,41.8,7488689,312223391.49,shares,0
2023-01-19,41.75,45.44,41.74,44.9,41.99,15061008,664804399.61,shares,0
2023-01-20,44.64,45.4,44.41,44.98,44.9,7104606,318697189.12,shares,0
2023-01-30,45.3,45.6,43.98,44.2,44.98,7953849,354714529.65,shares,0
2023-01-31,44.1,44.47,42.63,43.01,44.2,8731889,377221706.65,shares,0
2023-02-01,43.11,43.88,42.86,43.8,43.01,6521100,283660202.81,shares,0
2023-02-02,44.22,46.8,44.11,45.78,43.8,15271859,696230605.87,shares,0
2023-02-03,45.47,47.7,44.75,47.68,45.78,13827056,637991678.85,shares,0
2023-02-06,47.77,50.02,46.38,49.1,47.68,22382702,1083392536.81,shares,0
2023-02-07,48.4,51.51,48.19,49.66,49.1,16643405,827818556.62,shares,0
2023-02-08,49.99,50.78,47.1,47.23,49.66,12611675,611252728.63,shares,0
2023-02-09,46.99,55.3,46.46,53.51,47.23,25652346,1315383500.05,shares,0
2023-02-10,53.0,53.5,50.44,50.59,53.51,19174837,994449208.78,shares,0
2023-02-13,51.0,54.72,50.3,52.52,50.59,22827718,1199039591.99,shares,0
2023-02-14,53.83,55.36,52.49,53.17,52.52,19995512,1074217964.93,shares,0
2023-02-15,53.16,57.01,51.37,56.21,53.17,25229176,1370536043.15,shares,0
2023-02-16,55.03,56.68,50.91,51.5,56.21,25265968,1353213407.42,shares,0
2023-02-17,51.2,51.96,48.0,48.43,51.5,18698443,925281356.43,shares,0
2023-02-20,48.51,52.48,48.03,51.9,48.43,19512588,982466662.1,shares,0
2023-02-21,51.18,52.19,49.01,49.99,51.9,15347519,773253646.1,shares,0
2023-02-22,49.5,50.97,49.01,50.17,49.99,10058181,502752894.28,shares,0
2023-02-23,50.32,51.43,49.6,50.18,50.17,10337473,521682392.16,shares,0
