date,open,high,low,close,preclose,volume,amount,volume_unit,special_treatment
2019-07-22,91.3,97.2,66.3,74.92,24.8,58330685,4564778758.0,shares,0
2019-07-23,70.02,78.88,70.0,74.13,74.92,23906020,1777324317.0,shares,0
2019-07-24,74.13,76.55,72.5,75.88,74.13,21608530,1610303284.0,shares,0
2019-07-25,75.0,79.98,74.6,78.0,75.88,24626920,1910989436.0,shares,0
2019-07-26,76.78,76.78,70.3,71.68,78.0,16831530,1240093724.0,shares,0
2019-07-29,71.0,74.9,70.9,74.58,71.68,15233656,1125368095.0,shares,0
2019-07-30,74.4,75.9,72.3,75.1,74.58,15434911,1150816877.0,shares,0
2019-07-31,74.98,78.5,74.48,77.27,75.1,18836308,1452148340.0,shares,0
2019-08-01,76.01,80.5,75.6,79.8,77.27,20986740,1640911045.0,shares,0
2019-08-02,78.0,89.14,77.62,83.87,79.8,31803531,2655811987.0,shares,0
2019-08-05,84.5,85.91,79.3,85.66,83.87,24370858,2044588243.0,shares,0
2019-08-06,84.0,89.95,73.8,78.7,85.66,28829476,2467241681.0,shares,0
2019-08-07,80.25,81.5,75.33,79.13,78.7,16459262,1291939725.0,shares,0
2019-08-08,79.3,83.89,78.03,78.49,79.13,15390115,1240952591.0,shares,0
2019-08-09,79.0,79.0,74.7,74.83,78.49,13224224,1009253338.0,shares,0
2019-08-12,74.5,75.3,71.71,73.3,74.83,9888454,723614511.0,shares,0
2019-08-13,72.9,74.42,72.36,73.99,73.3,8085744,594422043.0,shares,0
2019-08-14,74.85,75.97,74.0,74.41,73.99,8136375,609671411.0,shares,0
2019-08-15,72.4,74.42,72.01,74.11,74.41,6344409,465852964.0,shares,0
2019-08-16,74.66,75.49,73.67,74.18,74.11,5962029,444653471.0,shares,0
2019-08-19,74.6,76.46,73.52,75.76,74.18,9084341,681663507.0,shares,0
2019-08-20,75.7,76.39,74.69,74.98,75.76,5811733,439009637.0,shares,0
2019-08-21,74.69,74.88,70.13,70.7,74.98,10486912,755280762.0,shares,0
2019-08-22,70.75,72.55,70.01,70.85,70.7,5979728,426840374.0,shares,0
2019-08-23,70.99,71.32,66.66,67.34,70.85,10253197,701753618.0,shares,0
2019-08-26,66.75,68.39,66.75,68.0,67.34,4618014,312623984.0,shares,0
2019-08-27,68.62,69.5,67.82,69.06,68.0,5364052,368827844.0,shares,0
2019-08-28,68.8,69.65,67.61,67.96,69.06,4318428,295643118.0,shares,0
2019-08-29,67.97,71.33,67.0,70.69,67.96,8940314,623133934.0,shares,0
2019-08-30,71.0,71.1,69.19,69.28,70.69,6456719,451210028.0,shares,0
2019-09-02,70.0,70.65,68.45,70.2,69.28,5085739,354043000.0,shares,0
2019-09-03,69.83,75.86,69.67,74.39,70.2,11570311,851613541.0,shares,0
2019-09-04,74.0,75.75,73.25,73.93,74.39,6592636,490673078.0,shares,0
2019-09-05,74.24,76.06,73.47,74.41,73.93,7574412,567674448.0,shares,0
2019-09-06,74.74,75.86,71.77,72.1,74.41,6504305,479641835.0,shares,0
2019-09-09,72.7,75.78,72.26,74.89,72.1,8946474,669319306.0,shares,0
2019-09-10,74.92,77.0,73.98,74.7,74.89,7503136,566800733.0,shares,0
2019-09-11,74.3,74.7,73.17,73.23,74.7,4694050,346206123.0,shares,0
2019-09-12,73.38,73.88,70.66,70.95,73.23,6051890,433805839.0,shares,0
2019-09-16,71.02,71.89,70.64,71.0,70.95,2701930,192314867.0,shares,0
2019-09-17,71.0,71.58,68.81,68.99,71.0,3462527,241894529.0,shares,0
2019-09-18,68.99,70.77,68.99,69.5,68.99,3110510,217061959.0,shares,0
2019-09-19,69.33,71.49,69.32,70.29,69.5,4044468,285727256.0,shares,0
2019-09-20,70.3,71.04,69.5,70.7,70.29,3287438,231037858.0,shares,0
2019-09-23,70.0,71.0,68.9,70.39,70.7,3042553,212679031.0,shares,0
2019-09-24,70.4,74.52,70.4,73.41,70.39,8742349,639821468.0,shares,0
2019-09-25,72.9,73.4,70.24,70.26,73.41,4817713,344319521.0,shares,0
2019-09-26,70.6,70.72,66.5,66.72,70.26,4915553,332861045.0,shares,0
2019-09-27,66.89,68.97,66.89,68.3,66.72,2709350,184063973.0,shares,0
2019-09-30,68.35,68.5,62.0,63.27,68.3,4878548,315718738.0,shares,0
2019-10-08,63.28,63.79,61.0,61.17,63.27,2579943,159530572.0,shares,0
2019-10-09,60.35,61.85,60.3,61.76,61.17,1805609,110820238.0,shares,0
2019-10-10,61.98,62.95,61.71,62.5,61.76,1886487,117690187.0,shares,0
2019-10-11,62.84,62.87,61.44,61.44,62.5,1677064,103819054.0,shares,0
2019-10-14,61.8,63.57,61.33,63.08,61.44,2746837,172306666.0,shares,0
2019-10-15,63.0,63.0,61.4,61.62,63.08,1503903,93617816.0,shares,0
2019-10-16,62.0,62.29,60.01,60.02,61.62,2119858,129278651.0,shares,0
2019-10-17,60.06,60.78,59.22,59.32,60.02,2012873,120023264.0,shares,0
2019-10-18,59.8,62.73,59.6,60.9,59.32,3748827,230751074.0,shares,0
2019-10-21,60.46,60.5,57.6,58.6,60.9,2796823,163991957.0,shares,0
2019-10-22,58.2,59.45,58.2,59.0,58.6,1821221,107266660.0,shares,0
2019-10-23,59.0,62.88,58.59,62.14,59.0,4533775,277269953.0,shares,0
2019-10-24,61.35,62.3,61.01,61.05,62.14,2464349,151648455.0,shares,0
2019-10-25,61.34,61.42,59.36,59.98,61.05,1675257,100997316.0,shares,0
2019-10-28,61.03,61.99,60.8,61.55,59.98,3032434,186534764.0,shares,0
2019-10-29,61.57,62.75,60.2,60.38,61.55,2939484,181005332.0,shares,0
2019-10-30,59.97,62.29,59.71,59.99,60.38,3357649,204873081.0,shares,0
2019-10-31,59.79,60.5,57.8,58.29,59.99,2886407,169297444.0,shares,0
2019-11-01,57.9,59.96,57.6,59.25,58.29,2246059,132805459.0,shares,0
2019-11-04,60.04,61.88,60.04,61.74,59.25,3945106,241427872.0,shares,0
2019-11-05,61.1,62.78,60.85,62.16,61.74,4187105,259500926.0,shares,0
2019-11-06,62.32,62.62,60.9,61.13,62.16,2331354,143703073.0,shares,0
2019-11-07,60.8,64.6,60.8,63.98,61.13,5461420,345060753.0,shares,0
2019-11-08,63.98,70.5,63.53,67.0,63.98,10201948,694671231.0,shares,0
2019-11-11,66.92,70.2,64.5,67.63,67.0,6583904,449738557.0,shares,0
2019-11-12,66.9,69.38,65.91,65.94,67.63,3998358,270515920.0,shares,0
2019-11-13,66.01,71.4,65.8,70.81,65.94,8147064,567509998.0,shares,0
2019-11-14,70.6,73.19,69.3,70.0,70.81,6051381,429564221.0,shares,0
2019-11-15,69.82,72.0,69.63,70.08,70.0,4735426,335693404.0,shares,0
2019-11-18,69.11,70.5,67.85,69.36,70.08,3277979,225869468.0,shares,0
2019-11-19,69.36,70.99,68.15,69.89,69.36,4700207,327328000.0,shares,0
2019-11-20,69.0,69.4,66.57,67.5,69.89,6691639,453850684.0,shares,0
2019-11-21,67.0,68.18,66.32,66.6,67.5,2478670,166731627.0,shares,0
2019-11-22,66.6,68.5,65.0,67.25,66.6,3898883,261123241.0,shares,0
2019-11-25,66.66,67.64,63.15,63.7,67.25,3809554,248656273.0,shares,0
2019-11-26,63.91,64.9,63.7,63.98,63.7,2001621,128579179.0,shares,0
2019-11-27,64.29,67.45,63.17,66.08,63.98,4276271,282467082.0,shares,0
2019-11-28,65.8,67.59,65.08,65.42,66.08,2689545,178275288.0,shares,0
2019-11-29,65.5,66.0,64.09,65.43,65.42,2216339,144545287.0,shares,0
2019-12-02,65.4,67.18,65.12,65.86,65.43,2438658,161837753.0,shares,0
2019-12-03,65.5,65.82,63.3,65.16,65.86,2599181,167917212.0,shares,0
2019-12-04,64.87,70.06,64.59,68.1,65.16,5644483,384519355.0,shares,0
2019-12-05,67.91,70.5,67.51,69.49,68.1,5041348,350686917.0,shares,0
2019-12-06,69.8,70.7,69.02,69.93,69.49,2652411,185428335.0,shares,0
2019-12-09,70.29,73.1,70.28,71.9,69.93,5330164,384395602.0,shares,0
