date,open,high,low,close,preclose,volume,amount,volume_unit,special_treatment
2022-12-21,123.0,129.0,116.39,116.42,100.66,9066364,1095986117.03,shares,0
2022-12-22,115.66,128.0,115.66,122.51,116.42,6206317,762536072.7,shares,0
2022-12-23,120.72,122.0,114.33,117.04,122.51,2319868,273398635.82,shares,0
2022-12-26,117.04,124.82,114.5,121.0,117.04,2300402,278247605.15,shares,0
2022-12-27,119.72,126.0,118.77,124.39,121.0,1682874,208212612.2,shares,0
2022-12-28,124.02,127.4,120.5,122.68,124.39,1101035,136395778.3,shares,0
2022-12-29,121.33,122.01,117.0,118.25,122.68,1099231,130531402.05,shares,0
2022-12-30,118.26,123.88,118.26,119.53,118.25,1066405,128976534.93,shares,0
2023-01-03,119.2,131.21,118.9,130.78,119.53,1776341,226044291.98,shares,0
2023-01-04,129.33,131.88,126.0,127.36,130.78,905457,116894983.46,shares,0
2023-01-05,128.97,131.42,124.21,125.82,127.36,1158548,147332491.71,shares,0
2023-01-06,127.0,131.58,123.72,131.3,125.82,1119875,144360580.97,shares,0
2023-01-09,131.15,132.18,126.49,129.36,131.3,1342503,173853051.18,shares,0
2023-01-10,129.52,135.19,126.66,127.0,129.36,1068110,139159695.44,shares,0
2023-01-11,127.22,130.35,122.77,125.85,127.0,908949,114769464.73,shares,0
2023-01-12,126.73,128.76,121.8,127.5,125.85,705400,89203151.41,shares,0
2023-01-13,126.69,130.35,123.52,125.38,127.5,612402,76850961.77,shares,0
2023-01-16,124.98,130.88,124.1,130.0,125.38,758336,97689944.85,shares,0
2023-01-17,130.0,133.5,128.88,132.79,130.0,655361,86284465.76,shares,0
2023-01-18,133.0,133.0,130.0,131.35,132.79,260876,34315492.38,shares,0
2023-01-19,131.98,136.88,129.59,136.29,131.35,588735,79325077.34,shares,0
2023-01-20,135.33,141.0,133.56,139.25,136.29,587424,80506943.35,shares,0
2023-01-30,141.19,141.19,132.39,133.0,139.25,761670,102680321.54,shares,0
2023-01-31,131.78,132.88,128.0,128.98,133.0,797050,103148341.02,shares,0
2023-02-01,128.95,130.99,126.29,129.5,128.98,795634,102031578.47,shares,0
2023-02-02,129.0,130.28,126.95,128.0,129.5,697528,89772493.83,shares,0
2023-02-03,128.2,137.6,128.2,134.7,128.0,1389596,186334829.75,shares,0
2023-02-06,136.46,142.48,134.15,137.93,134.7,793011,108772927.91,shares,0
2023-02-07,136.66,140.67,135.37,136.0,137.93,555302,76225293.47,shares,0
2023-02-08,135.68,141.18,135.01,137.59,136.0,612662,84913727.38,shares,0
2023-02-09,139.65,157.99,135.88,153.48,137.59,1591729,233944224.59,shares,0
2023-02-10,154.47,163.0,145.65,149.5,153.48,2195002,335801185.54,shares,0
2023-02-13,149.99,156.86,149.56,154.8,149.5,1546430,235908087.65,shares,0
2023-02-14,153.79,154.43,148.89,150.9,154.8,1178444,178510989.2,shares,0
2023-02-15,152.0,162.48,150.34,159.87,150.9,1605665,252023243.69,shares,0
2023-02-16,158.63,164.63,149.18,149.6,159.87,1461738,227288899.4,shares,0
2023-02-17,149.2,152.44,141.35,142.49,149.6,825555,119501924.33,shares,0
2023-02-20,142.21,149.6,141.48,147.98,142.49,833168,121697722.11,shares,0
2023-02-21,148.0,148.39,142.88,145.45,147.98,600878,87103130.25,shares,0
2023-02-22,145.38,145.38,141.0,143.3,145.45,303513,43439398.1,shares,0
2023-02-23,143.15,147.45,142.57,146.88,143.3,484504,70488970.0,shares,0
2023-02-24,148.0,153.58,146.18,150.92,146.88,1015673,152858979.91,shares,0
2023-02-27,148.73,150.9,144.46,144.46,150.92,560628,82212604.15,shares,0
