date,open,high,low,close,preclose,volume,amount,volume_unit,special_treatment
2022-04-20,95.01,104.96,88.1,92.3,71.88,20563290,1962506053.45,shares,0
2022-04-21,94.99,111.0,93.68,101.59,92.3,12289617,1264254924.17,shares,0
2022-04-22,103.0,106.0,96.38,98.15,101.59,6816946,691788835.38,shares,0
2022-04-25,95.1,98.98,89.51,89.71,98.15,6279137,591506083.06,shares,0
2022-04-26,90.5,96.53,90.5,92.16,89.71,4310771,404029896.45,shares,0
2022-04-27,92.0,110.59,90.51,110.59,92.16,3984596,400717835.36,shares,0
2022-04-28,111.5,118.3,105.05,115.5,110.59,4527780,503893618.17,shares,0
2022-04-29,115.98,121.0,111.8,119.28,115.5,2750298,319478853.21,shares,0
2022-05-05,117.49,117.49,107.48,110.85,119.28,4954077,555272218.6,shares,0
2022-05-06,106.51,117.8,106.22,109.25,110.85,2674166,299259682.46,shares,0
2022-05-09,108.16,113.55,106.53,110.1,109.25,2795245,307787330.01,shares,0
2022-05-10,107.97,131.9,107.22,126.0,110.1,3864609,469350859.16,shares,0
2022-05-11,126.68,130.88,121.5,128.0,126.0,3688534,467585002.43,shares,0
2022-05-12,125.91,145.0,123.88,129.5,128.0,3934615,522658884.72,shares,0
2022-05-13,132.73,137.7,128.74,131.6,129.5,2445433,323373516.91,shares,0
2022-05-16,134.1,139.28,130.5,133.53,131.6,2616900,353597077.37,shares,0
2022-05-17,134.28,141.0,134.0,138.17,133.53,2593453,358040386.26,shares,0
2022-05-18,139.88,144.88,134.53,141.0,138.17,2269889,318918891.25,shares,0
2022-05-19,138.02,144.3,136.1,139.0,141.0,2223891,310840924.52,shares,0
2022-05-20,137.49,145.88,136.55,144.02,139.0,1698441,239059336.05,shares,0
2022-05-23,144.14,155.0,144.08,149.18,144.02,1636473,244959889.54,shares,0
2022-05-24,148.37,150.18,138.0,139.0,149.18,2162609,312313739.08,shares,0
2022-05-25,139.99,144.7,137.74,139.99,139.0,1741835,245568702.15,shares,0
2022-05-26,140.0,143.58,132.0,142.6,139.99,2233734,307963655.25,shares,0
2022-05-27,143.0,145.48,138.01,141.8,142.6,1426573,201255232.37,shares,0
2022-05-30,140.0,144.28,139.0,142.0,141.8,1080454,153044369.7,shares,0
2022-05-31,141.73,147.89,141.0,146.58,142.0,1155085,167046369.88,shares,0
2022-06-01,146.58,158.58,146.0,150.0,146.58,1549949,234925604.37,shares,0
2022-06-02,150.21,163.3,146.12,161.9,150.0,2072763,323037469.4,shares,0
2022-06-06,163.0,164.6,153.51,158.66,161.9,2242666,356034867.17,shares,0
2022-06-07,157.03,162.06,153.81,161.01,158.66,1426971,225101993.74,shares,0
2022-06-08,162.28,163.88,149.0,154.35,161.01,2189665,339951167.03,shares,0
2022-06-09,154.3,155.02,145.77,147.88,154.35,1445799,215633065.44,shares,0
2022-06-10,146.25,154.53,146.0,152.13,147.88,1266857,192588798.33,shares,0
2022-06-13,150.0,151.56,142.18,149.1,152.13,2356948,346379128.12,shares,0
2022-06-14,146.1,147.75,140.8,144.1,149.1,1986774,285240344.79,shares,0
2022-06-15,144.7,155.8,143.99,151.53,144.1,1647022,248658828.93,shares,0
2022-06-16,151.53,161.0,150.0,154.8,151.53,1275170,199663799.55,shares,0
2022-06-17,152.0,158.02,150.98,153.95,154.8,1029975,158533728.94,shares,0
2022-06-20,152.49,154.9,148.58,150.7,153.95,1215424,184597921.01,shares,0
2022-06-21,150.98,158.58,148.5,154.0,150.7,1081226,165851407.56,shares,0
2022-06-22,155.0,155.7,147.11,148.56,154.0,974303,146214531.4,shares,0
2022-06-23,148.52,160.5,148.51,160.0,148.56,1295312,203291720.13,shares,0
2022-06-24,157.87,161.59,153.68,154.3,160.0,1130908,176983405.75,shares,0
2022-06-27,156.93,157.66,149.2,151.01,154.3,1513800,231225386.01,shares,0
2022-06-28,151.68,156.8,149.0,155.11,151.01,1339076,203420898.54,shares,0
2022-06-29,154.89,155.47,147.05,148.5,155.11,1220534,183867849.37,shares,0
